企業名,MBTI,相性のいいMBTI,Webサイト,業界カテゴリ,企業規模,企業文化,働き方,求められるスキル・特性,評価制度,,,,,,,,,,,
エーザイ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.eisai.co.jp/,製薬,大規模,研究志向・倫理重視,フレックス制・リモート可,研究開発・医薬知識,成果主義,,,,,,,,,,,
エクスペディアジャパン,ENFP,"INFJ, ENTP, ENTJ",https://www.expedia.co.jp/,旅行・観光,中規模,顧客志向・デジタル重視,フレックス制・リモート可,マーケティング・ITスキル,成果主義,,,,,,,,,,,
エディオン,ESTJ,"ENTP, ISTJ, ENTJ",https://www.edion.co.jp/,小売（家電）,大規模,顧客志向・サービス重視,シフト制,接客・商品知識,年功序列＋成果評価,,,,,,,,,,,
エフテック,ISTP,"ESTP, ISTJ, ESTJ",https://www.ftech.co.jp/,自動車部品,中規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・製造技術,年功序列＋成果評価,,,,,,,,,,,
エレコム,ISTJ,"ESTJ, ENTJ, ISTP",https://www.elecom.co.jp/,電子機器,中規模,イノベーション志向・デザイン重視,フレックス制・リモート可,プロダクトデザイン・技術開発,成果主義,,,,,,,,,,,
エン・ジャパン,INFJ,"ENFP, INTJ, ENTP",https://corp.en-japan.com/,人材サービス,中規模,顧客志向・データドリブン,フレックス制・リモート可,人材管理・マーケティング,成果主義,,,,,,,,,,,
オートバックスセブン,ESTP,"ESFP, ENTP, ISTP",https://www.autobacs.co.jp/,小売（自動車用品）,大規模,顧客志向・サービス重視,シフト制,接客・商品知識,年功序列＋成果評価,,,,,,,,,,,
オプトホールディング,ENTP,"INFJ, ENFP, ENTJ",https://www.opt.ne.jp/,デジタルマーケティング,中規模,イノベーション志向・データドリブン,フレックス制・リモート可,マーケティング戦略・分析力,成果主義,,,,,,,,,,,
オムロン,INTJ,"ENTP, INTP, INFJ",https://www.omron.co.jp/,電子機器,大規模,技術志向・社会貢献重視,フレックス制・リモート可,エンジニアリング・製品開発,年功序列＋成果評価,,,,,,,,,,,
オリエンタルランド,ENFJ,"ENTP, INFJ, ENFP",https://www.olc.co.jp/ja/index.html,娯楽（テーマパーク）,大規模,顧客志向・ホスピタリティ重視,シフト制,接客・エンターテインメントスキル,年功序列＋成果評価,,,,,,,,,,,
オリコ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.orico.co.jp/,金融（クレジット）,大規模,顧客志向・信頼重視,フレックス制・リモート可,金融知識・コミュニケーション力,年功序列＋成果評価,,,,,,,,,,,
オリックス,ENTJ,"ESTJ, ENTP, INTJ",https://www.orix.co.jp/,金融・リース,大規模,イノベーション志向・多角化,フレックス制・リモート可,金融知識・ビジネス開発,成果主義,,,,,,,,,,,
オリックス銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.orixbank.co.jp/,金融（銀行）,中規模,顧客志向・サービス重視,フレックス制・リモート可,金融知識・コミュニケーション力,成果主義,,,,,,,,,,,
オリンパス,ISTP,"ESTP, ISTJ, ESTJ",https://www.olympus.co.jp/,医療機器・光学機器,大規模,技術志向・グローバル展開,フレックス制,医療技術・光学機器開発,年功序列＋成果主義,,,,,,,,,,,
カインズ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.cainz.co.jp/,小売（ホームセンター）,大規模,顧客志向・地域密着,シフト制,接客・商品管理,年功序列＋成果評価,,,,,,,,,,,
カインズホーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.cainz.com/,小売（ホームセンター）,大規模,顧客志向・地域密着,シフト制,接客・商品管理,年功序列＋成果評価,,,,,,,,,,,
カゴメ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kagome.co.jp/,食品,大規模,健康志向・品質重視,フレックス制・リモート可,商品開発・マーケティング,成果主義,,,,,,,,,,,
カシオコンピュータ,ISTP,"ESTP, ISTJ, ESTJ",https://www.casio.co.jp/,電子機器,大規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・製品設計,年功序列＋成果評価,,,,,,,,,,,
カシオ計算機,ISTP,"ESTP, ISTJ, ESTJ",https://www.casio.com/jp/,電子機器,大規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・製品設計,年功序列＋成果評価,,,,,,,,,,,
ガスト,ESFJ,"ENTP, ENFP, ESFP",https://www.skylark.co.jp/gusto/,飲食（ファミリーレストラン）,大規模,顧客志向・サービス重視,シフト制,接客・調理スキル,成果主義,,,,,,,,,,,
カプコン,ENFP,"INFJ, ENTP, ENTJ",https://www.capcom.co.jp/,ゲーム,大規模,クリエイティブ・革新性,フレックス制・リモート可,ゲーム開発・デザイン,成果主義,,,,,,,,,,,
カプリチョーザ,ESFP,"ENTP, ENFP, ESFJ",https://www.capricciosa.com/,飲食,中規模,ホスピタリティ重視,シフト制,接客・調理,成果主義,,,,,,,,,,,
カヤック,ENFP,"INFJ, ENTP, ENTJ",https://www.kayac.com/,IT・クリエイティブ,中規模,クリエイティブ文化,フレックス制・リモート可,デザイン・エンジニアリング,成果主義,,,,,,,,,,,
カラオケの鉄人,ENFP,"INFJ, ENTP, ENTJ",https://www.karatetsu.com/,エンタメ・小売,中規模,サービス志向,シフト制,接客・運営,成果主義,,,,,,,,,,,
カルソニックカンセイ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.marelli.com/,製造・自動車,大規模,技術志向,フレックス制,自動車部品開発,年功序列,,,,,,,,,,,
かんぽ生命保険,ISFJ,"ESFJ, ISTJ, ESTJ",[https://www.jp-life.japanpost.jp/](https,金融・保険,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
キーエンス,ENTJ,"ESTJ, ENTP, INTJ",https://www.keyence.co.jp/,製造・電子機器,大規模,実力主義・高収益,フレックス制,営業・技術開発,成果主義,,,,,,,,,,,
キッコーマン,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kikkoman.co.jp/,食品,大規模,健康志向・品質重視,フレックス制・リモート可,商品開発・マーケティング,年功序列＋成果評価,,,,,,,,,,,
ギャガ,ENFP,"INFJ, ENTP, ENTJ",https://www.gaga.co.jp/,エンタメ・映画配給,中規模,クリエイティブ志向,フレックス制,映画配給・マーケティング,成果主義,,,,,,,,,,,
キャスター,INFJ,"ENFP, INTJ, ENTP",https://caster.co.jp/,人材・リモートワーク支援,中規模,リモートワーク推奨,フレックス制・リモート可,プロジェクト管理・採用支援,成果主義,,,,,,,,,,,
キヤノンマーケティングジャパン,ISTJ,"ESTJ, ENTJ, ISTP",https://canon.jp/,IT・ハードウェア,大規模,技術志向・販売戦略重視,フレックス制・リモート可,マーケティング・営業,年功序列＋成果評価,,,,,,,,,,,
キヤノンメディカルシステムズ,ISTJ,"ESTJ, ENTJ, ISTP",https://jp.medical.canon/,医療機器,大規模,技術志向・品質重視,フレックス制・リモート可,医療機器開発・エンジニアリング,年功序列＋成果評価,,,,,,,,,,,
キヤノン電子,ISTJ,"ESTJ, ENTJ, ISTP",https://www.canon-elec.co.jp/,電子機器,大規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・製品設計,年功序列＋成果評価,,,,,,,,,,,
キャリアカーバー,INTJ,"ENTP, INTP, INFJ",https://career.nikkei.com/,IT・転職メディア,中規模,成果報酬型,フレックス制,Webマーケティング・キャリアコンサル,成果主義,,,,,,,,,,,
キューピー,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kewpie.co.jp/,食品,大規模,品質志向,フレックス制,食品開発・マーケティング,年功序列,,,,,,,,,,,
きらぼし銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kiraboshibank.co.jp/,金融,中規模,地域密着・安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
キリンホールディングス,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.kirinholdings.com/,食品・飲料,大規模,健康志向・品質重視,フレックス制・リモート可,商品開発・マーケティング,年功序列＋成果評価,,,,,,,,,,,
キングレコード,ENFP,"INFJ, ENTP, ENTJ",https://www.kingrecords.co.jp/,音楽・エンタメ,大規模,クリエイティブ志向,フレックス制,音楽制作・マーケティング,年功序列,,,,,,,,,,,
クイック,ISTJ,"ESTJ, ENTJ, ISTP",https://919.jp/,人材・コンサルティング,中規模,人材支援・成長志向,フレックス制,営業・コンサルティング,成果主義,,,,,,,,,,,
クックパッドマート,ISFP,"ESFP, INFP, ENFP",https://cookpad-mart.com/,食品EC,中規模,DX・食文化,フレックス制・リモート可,マーケティング・物流管理,成果主義,,,,,,,,,,,
クラウドサイン,ENTP,"INFJ, ENFP, ENTJ",https://www.cloudsign.jp/,IT・法務Tech,中規模,電子契約・DX推進,フレックス制,法務知識・営業,成果主義,,,,,,,,,,,
クラウドリンクス,ENFP,"INFJ, ENTP, ENTJ",https://crowdlinks.jp/,IT・副業支援,中規模,フリーランス支援,フレックス制,プロジェクト管理・マーケティング,成果主義,,,,,,,,,,,
クラウドワークス,ENFP,"INFJ, ENTP, ENTJ",https://crowdworks.jp/,IT・クラウドソーシング,中規模,フリーランス文化,フレックス制・リモート可,プロジェクト管理・マーケティング,成果主義,,,,,,,,,,,
クラブツーリズム,ESFP,"ENTP, ENFP, ESFJ",https://www.club-t.com/,旅行,大規模,サービス志向,シフト制,旅行企画・接客,成果主義,,,,,,,,,,,
クラレ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kuraray.co.jp/,化学,大規模,研究開発志向,フレックス制,化学技術・製品開発,年功序列＋成果主義,,,,,,,,,,,
グリー,ENTP,"INFJ, ENFP, ENTJ",https://www.gree.co.jp/,IT・ゲーム,大規模,エンタメ・技術志向,フレックス制,ゲーム開発・マーケティング,成果主義,,,,,,,,,,,
クリスピー・クリーム・ドーナツ・ジャパン,ESFP,"ENTP, ENFP, ESFJ",https://krispykreme.jp/,飲食,中規模,外資系・ブランド重視,シフト制,接客・販売,成果主義,,,,,,,,,,,
クレディセゾン,ISTJ,"ESTJ, ENTJ, ISTP",https://corporate.saisoncard.co.jp/,金融（クレジットカード）,大規模,顧客志向・サービス重視,フレックス制・リモート可,金融知識・営業力,年功序列＋成果評価,,,,,,,,,,,
クレバリーホーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.cleverlyhome.com/,住宅,中規模,安定志向,固定勤務,住宅営業・設計,年功序列,,,,,,,,,,,
ケーズデンキ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.ksdenki.com/,小売,大規模,顧客志向,シフト制,販売・接客,年功序列,,,,,,,,,,,
ケーヒン,ISTP,"ESTP, ISTJ, ESTJ",https://www.keihin-corp.co.jp/,製造・自動車,大規模,技術志向,フレックス制,自動車部品開発,年功序列,,,,,,,,,,,
ゲオホールディングス,ESTP,"ESFP, ENTP, ISTP",https://www.geonet.co.jp/,小売・レンタル,大規模,サービス志向,シフト制,店舗運営・販売,年功序列,,,,,,,,,,,
ケンタッキー・フライド・チキンジャパン,ESFJ,"ENTP, ENFP, ESFP",https://www.kfc.co.jp/,飲食,大規模,顧客志向・サービス重視,シフト制,接客・調理スキル,成果主義,,,,,,,,,,,
コーエーテクモゲームス,INTP,"ENTP, INTJ, INFP",https://www.koeitecmo.co.jp/,ゲーム,大規模,クリエイティブ・革新性,フレックス制・リモート可,ゲーム開発・デザイン,成果主義,,,,,,,,,,,
コーナン商事,ESTJ,"ENTP, ISTJ, ENTJ",https://www.hc-kohnan.com/,小売,大規模,地域密着,シフト制,店舗運営・販売,年功序列,,,,,,,,,,,
こくみん共済coop,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.zenrosai.coop/,保険,大規模,安定志向,固定勤務,保険知識・営業,年功序列,,,,,,,,,,,
コクヨインターナショナル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kokuyo-international.com/,文具・オフィス用品,大規模,グローバル志向,フレックス制,マーケティング・営業,成果主義,,,,,,,,,,,
コクヨファニチャー,ISTJ,"ESTJ, ENTJ, ISTP",https://www.kokuyo-furniture.co.jp/,オフィス家具,中規模,デザイン志向,フレックス制,商品企画・営業,成果主義,,,,,,,,,,,
ココカラファイン,ESFJ,"ENTP, ENFP, ESFP",https://www.cocokarafine.co.jp/,小売・ドラッグストア,大規模,ヘルスケア志向,シフト制,接客・販売,年功序列,,,,,,,,,,,
ココス,ESFJ,"ENTP, ENFP, ESFP",https://www.cocos-jpn.co.jp/,飲食,大規模,ホスピタリティ志向,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
コストコジャパン,ESTP,"ESFP, ENTP, ISTP",https://www.costco.co.jp/,小売,大規模,顧客志向・効率重視,シフト制,接客・物流管理,成果主義,,,,,,,,,,,
コナミホールディングス,ENTJ,"ESTJ, ENTP, INTJ",https://www.konami.com/,エンターテインメント,大規模,クリエイティブ・革新性,フレックス制・リモート可,ゲーム開発・スポーツ事業,成果主義,,,,,,,,,,,
コニカミノルタ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.konicaminolta.com/jp-ja/,電子機器,大規模,技術志向・品質重視,フレックス制・リモート可,エンジニアリング・マーケティング,年功序列＋成果評価,,,,,,,,,,,
コメダ珈琲店,ESFJ,"ENTP, ENFP, ESFP",https://www.komeda.co.jp/,飲食（カフェ）,大規模,顧客志向・サービス重視,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
コメリ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.komeri.com/,小売（ホームセンター）,大規模,地域密着・安定志向,シフト制,販売・店舗運営,年功序列,,,,,,,,,,,
コロプラ,INTP,"ENTP, INTJ, INFP",https://www.komeda.co.jp/,ゲーム,大規模,クリエイティブ・革新性,フレックス制・リモート可,ゲーム開発・デザイン,成果主義,,,,,,,,,,,
ゴンチャジャパン,ESFP,"ENTP, ENFP, ESFJ",https://colopl.co.jp/,飲食（カフェ）,中規模,顧客志向・ブランド戦略,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
ザ・リッツカールトン東京,ESFJ,"ENTP, ENFP, ESFP",https://www.ritzcarlton.com/jp/hotels/japan/tokyo,ホテル・ホスピタリティ,大規模,高級志向・サービス品質重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
サーモス,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.gongcha.co.jp/,家電・生活用品,大規模,ブランド志向・品質重視,フレックス制・リモート可,商品開発・マーケティング,成果主義,,,,,,,,,,,
サイゼリヤ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.saizeriya.co.jp/,飲食（ファミレス）,大規模,顧客志向・コスト効率重視,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
さくらインターネット,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sakura.ad.jp/,IT,中規模,技術志向,フレックス制,クラウドサービス・エンジニアリング,成果主義,,,,,,,,,,,
サマンサタバサジャパン,ESFP,"ENTP, ENFP, ESFJ",https://www.samantha.co.jp/,小売・ファッション,中規模,ブランド志向,シフト制,接客・販売,成果主義,,,,,,,,,,,
サンドラッグ,ESTJ,"ENTP, ISTJ, ENTJ",https://www.sundrug.co.jp/,小売・ドラッグストア,大規模,ヘルスケア志向,シフト制,接客・販売,年功序列,,,,,,,,,,,
サントリー,ESFJ,"ENTP, ENFP, ESFP",https://www.suntory.co.jp/,食品・飲料,大規模,ブランド志向・品質重視,フレックス制・リモート可,商品開発・マーケティング,年功序列＋成果評価,,,,,,,,,,,
サンヨーホームズ,ISFJ,"ESFJ, ISTJ, ESTJ",[https://www.sanyohomes.co.jp/,住宅,中規模,環境配慮・品質重視,フレックス制,建築設計・営業,年功序列,,,,,,,,,,,
サンライズ,ENFP,"INFJ, ENTP, ENTJ",https://www.sunrise-inc.co.jp/,アニメ制作,中規模,クリエイティブ志向,固定勤務,アニメ制作・作画,成果主義,,,,,,,,,,,
ジェイアール東日本企画,ENTP,"INFJ, ENFP, ENTJ",https://www.jeki.co.jp/,広告,大規模,交通広告・マーケティング,フレックス制,広告企画・営業,成果主義,,,,,,,,,,,
ジェイテクト,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jtekt.co.jp/,製造・自動車,大規模,技術志向,フレックス制,自動車部品開発,年功序列,,,,,,,,,,,
シグマクシス,ENTJ,"ESTJ, ENTP, INTJ",https://www.sigmaxyz.com/,コンサルティング,中規模,DX・成長志向,フレックス制,経営戦略・ITコンサル,成果主義,,,,,,,,,,,
シチズン時計,ISTJ,"ESTJ, ENTJ, ISTP",https://www.citizen.co.jp/,製造・時計,大規模,品質重視,フレックス制,製造技術・商品企画,年功序列,,,,,,,,,,,
じぶん銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jibunbank.co.jp/,金融,中規模,デジタルバンク,フレックス制,金融知識・データ分析,成果主義,,,,,,,,,,,
しまむら,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.shimamura.gr.jp/,小売,大規模,価格重視・地域密着,シフト制,販売・店舗運営,年功序列,,,,,,,,,,,
シャープ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sharp.co.jp/,製造・電機,大規模,技術志向,フレックス制,エレクトロニクス・製品開発,年功序列＋成果主義,,,,,,,,,,,
シャープエネルギーソリューション,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sharp.co.jp/energy/,製造・エネルギー,中規模,技術志向,フレックス制,再生可能エネルギー・エンジニアリング,年功序列,,,,,,,,,,,
シャープディスプレイテクノロジー,ISTP,"ESTP, ISTJ, ESTJ",https://www.sharp.co.jp/sdt/,製造・電機,中規模,技術志向,フレックス制,ディスプレイ技術・製品開発,年功序列,,,,,,,,,,,
ジャックス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.jaccs.co.jp/,金融・クレジット,大規模,安定志向,フレックス制,金融知識・営業,年功序列,,,,,,,,,,,
ジャパンネット銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.japannetbank.co.jp/,金融,中規模,デジタルバンク,フレックス制,金融知識・データ分析,成果主義,,,,,,,,,,,
ジョイフル,ESFP,"ENTP, ENFP, ESFJ",https://www.joyfull.co.jp/,飲食,大規模,ホスピタリティ志向,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
ジョーシン,ESTJ,"ENTP, ISTJ, ENTJ",https://www.joshin.co.jp/,小売・家電,大規模,サービス重視,シフト制,販売・接客,年功序列,,,,,,,,,,,
ジョナサン,ESFJ,"ENTP, ENFP, ESFP",https://www.skylark.co.jp/jonathan/,飲食,大規模,ホスピタリティ志向,シフト制,接客・店舗運営,年功序列,,,,,,,,,,,
ジョンソン＆ジョンソン日本法人,INTJ,"ENTP, INTP, INFJ",https://www.jnj.co.jp/,医療・消費財,大規模,外資系・グローバル志向,フレックス制,医療マーケティング・営業,成果主義,,,,,,,,,,,
すき家,ESTJ,"ENTP, ISTJ, ENTJ",https://www.sukiya.jp/,飲食,大規模,コスト重視,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
スクウェア・エニックス,ENFP,"INFJ, ENTP, ENTJ",https://www.jp.square-enix.com/,IT・ゲーム,大規模,クリエイティブ志向,フレックス制,ゲーム開発・デザイン,成果主義,,,,,,,,,,,
スシロー,ESTP,"ESFP, ENTP, ISTP",https://www.sushiro.co.jp/,飲食,大規模,コスト重視,シフト制,接客・店舗運営,成果主義,,,,,,,,,,,
スズキ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.suzuki.co.jp/,製造・自動車,大規模,技術志向,フレックス制,エンジニアリング・製造,年功序列,,,,,,,,,,,
スターバックスジャパン,ENFJ,"ENTP, INFJ, ENFP",https://www.starbucks.co.jp/,飲食,大規模,ブランド志向,シフト制,接客・マーケティング,成果主義,,,,,,,,,,,
スタジオジブリ,INFJ,"ENFP, INTJ, ENTP",https://www.ghibli.jp/,アニメ制作,中規模,クリエイティブ志向,固定勤務,アニメ制作・演出,成果主義,,,,,,,,,,,
スタンレー電気,ISTJ,"ESTJ, ENTJ, ISTP",https://www.stanley.co.jp/,製造・電子機器,大規模,技術志向,フレックス制,照明技術・電子設計,年功序列,,,,,,,,,,,
ストライク,ISTP,"ESTP, ISTJ, ESTJ",https://www.strike.co.jp/,IT・M&A支援,中規模,成長志向,フレックス制,M&Aコンサル・ファイナンス,成果主義,,,,,,,,,,,
ストライプインターナショナル,ENFP,"INFJ, ENTP, ENTJ",https://www.stripe-intl.com/,小売・アパレル,大規模,ファッション志向,シフト制,マーケティング・販売,成果主義,,,,,,,,,,,
ストライプデパートメント,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.stripedepartment.com/,IT・ファッションEC,中規模,EC・DX推進,フレックス制,Webマーケティング・データ分析,成果主義,,,,,,,,,,,
スパイスボックス,ENFP,"INFJ, ENTP, ENTJ",https://www.spicebox.co.jp/,IT・広告,中規模,デジタルマーケティング,フレックス制,広告運営・データ分析,成果主義,,,,,,,,,,,
スバルテクニカインターナショナル,ISTP,"ESTP, ISTJ, ESTJ",https://www.sti.jp/,製造・自動車,中規模,技術志向,フレックス制,自動車開発・設計,成果主義,,,,,,,,,,,
スマートドライブ,ENTP,"INFJ, ENFP, ENTJ",https://www.smartdrive.co.jp/,IT・モビリティ,中規模,DX推進,フレックス制,データ分析・AI開発,成果主義,,,,,,,,,,,
スマートニュース株式会社,ENTP,"INFJ, ENFP, ENTJ",https://www.smartnews.com/,IT・メディア,中規模,グローバル志向,フレックス制,ニュース配信・データ分析,成果主義,,,,,,,,,,,
スマートバンク,ENTP,"INFJ, ENFP, ENTJ",https://www.smartbank.co.jp/,IT・金融,中規模,Fintech,フレックス制,金融知識・システム開発,成果主義,,,,,,,,,,,
セイコーインスツル,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sii.co.jp/,製造・時計,中規模,技術志向,フレックス制,精密機器設計・製造,年功序列,,,,,,,,,,,
セイコーウォッチ,ISTJ,"ESTJ, ENTJ, ISTP",https://www.seikowatches.com/jp-ja,製造・時計,大規模,ブランド志向,フレックス制,商品企画・マーケティング,年功序列,,,,,,,,,,,
セイコーエプソン,ISTJ,"ESTJ, ENTJ, ISTP",https://www.epson.jp/,製造・電子機器,大規模,技術志向,フレックス制,プリンター技術・開発,年功序列,,,,,,,,,,,
セイコーエプソンデバイス,ISTJ,"ESTJ, ENTJ, ISTP",https://www.epsontoyocom.co.jp/,製造・電子部品,中規模,技術志向,フレックス制,半導体・精密機器設計,年功序列,,,,,,,,,,,
セガサミーホールディングス,ENFP,"INFJ, ENTP, ENTJ",https://www.segasammy.co.jp/,エンタメ,大規模,クリエイティブ志向,フレックス制,ゲーム開発・映像制作,成果主義,,,,,,,,,,,
セキスイハイム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.sekisuiheim.com/,住宅,大規模,環境配慮・品質重視,フレックス制,建築設計・営業,年功序列,,,,,,,,,,,
セキスイハイム東海,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.sekisuiheim.com/tokai/,住宅,中規模,地域密着,フレックス制,住宅営業・設計,年功序列,,,,,,,,,,,
セゾン自動車火災保険,ISTJ,"ESTJ, ENTJ, ISTP",https://www.saison-automobile-fire.co.jp/,金融・保険,中規模,安定志向,固定勤務,保険知識・営業,年功序列,,,,,,,,,,,
セプテーニ・ホールディングス,ENTP,"INFJ, ENFP, ENTJ",https://www.septeni-holdings.co.jp/,IT・広告,大規模,デジタル広告,フレックス制,広告運営・データ分析,成果主義,,,,,,,,,,,
セブン&アイ・ホールディングス,ESTJ,"ENTP, ISTJ, ENTJ",https://www.7andi.com/,小売（総合）,大規模,顧客志向・効率重視,シフト制・一部リモート可,マーケティング・店舗運営,年功序列＋成果評価,,,,,,,,,,,
セブン銀行,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sevenbank.co.jp/,金融,大規模,安定志向,フレックス制,ATM・金融知識,年功序列,,,,,,,,,,,
ソニー,INTJ,"ENTP, INTP, INFJ",https://www.sony.com/ja/,電子機器,大規模,クリエイティブ・技術志向,フレックス制・リモート可,エンジニアリング・マーケティング,成果主義,,,,,,,,,,,
ソニー・ピクチャーズ エンタテインメント,ENFP,"INFJ, ENTP, ENTJ",https://www.sonypictures.jp/,エンターテインメント,大規模,クリエイティブ・グローバル志向,フレックス制・リモート可,映像制作・マーケティング,成果主義,,,,,,,,,,,
ソニー・ミュージックエンタテインメント,ENFP,"INFJ, ENTP, ENTJ",https://www.sme.co.jp/,音楽・メディア,大規模,クリエイティブ・革新性,フレックス制・リモート可,音楽プロデュース・マーケティング,成果主義,,,,,,,,,,,
ソニーインタラクティブエンタテインメント,ENFP,"INFJ, ENTP, ENTJ",https://www.sie.com/,ゲーム,大規模,クリエイティブ・技術志向,フレックス制・リモート可,ゲーム開発・デザイン,成果主義,,,,,,,,,,,
ソニーセミコンダクタソリューションズ,INTJ,"ENTP, INTP, INFJ",https://www.sony-semicon.co.jp/,半導体,大規模,技術志向・イノベーション,フレックス制・リモート可,半導体設計・製造,成果主義,,,,,,,,,,,
ソニー生命,ISTJ,"ESTJ, ENTJ, ISTP",https://www.sonylife.co.jp/,保険,大規模,顧客志向・安定志向,フレックス制・リモート可,保険営業・ファイナンス,年功序列＋成果評価,,,,,,,,,,,
ソニー損害保険,INTJ,"ENTP, INTP, INFJ",https://www.sonysonpo.co.jp/,保険,大規模,顧客志向・安定志向,フレックス制・リモート可,保険業務・リスク管理,成果主義,,,,,,,,,,,
ソフトバンク,ENTP,"INFJ, ENFP, ENTJ",https://www.softbank.jp/,通信・IT,大規模,イノベーション志向・成長重視,フレックス制・リモート可,AI・データ分析・営業,成果主義,,,,,,,,,,,
ソフトバンクテレコム,ENTP,"INFJ, ENFP, ENTJ",https://www.softbank.jp/corp/group/telecom/,通信・IT,大規模,デジタル化・イノベーション,フレックス制・リモート可,ネットワーク技術・法人営業,成果主義,,,,,,,,,,,
ダイエー,ESFJ,"ENTP, ENFP, ESFP",https://www.daiei.co.jp/,小売,大規模,顧客志向・価格競争力,シフト制,店舗運営・販売,年功序列＋成果評価,,,,,,,,,,,
ダイキン工業冷熱機器,ISTJ,"ESTJ, ENTJ, ISTP",https://www.daikin.co.jp/,製造,大規模,技術志向・グローバル,フレックス制・リモート可,空調技術・エンジニアリング,成果主義,,,,,,,,,,,
ダイハツ工業,ISTJ,"ESTJ, ENTJ, ISTP",https://www.daihatsu.co.jp/,自動車,大規模,技術志向・品質重視,フレックス制・リモート可,自動車設計・製造,年功序列＋成果評価,,,,,,,,,,,
ダイヤモンド社,INTJ,"ENTP, INTP, INFJ",https://www.diamond.co.jp/,出版,中規模,専門性重視,固定勤務,編集・ライティング,年功序列,,,,,,,,,,,
タカラスタンダード,ISTJ,"ESTJ, ENTJ, ISTP",https://www.takara-standard.co.jp/,住宅設備,大規模,安定志向,シフト制,製造・営業,年功序列,,,,,,,,,,,
タスカジ,ENFJ,"ENTP, INFJ, ENFP",https://taskaji.jp/,家事代行,小規模,フリーランス文化,フレックス制,家事スキル・接客,成果主義,,,,,,,,,,,
タピオカ専門店 THE ALLEY,ESFP,"ENTP, ENFP, ESFJ",https://www.the-alley.jp/,飲食,中規模,ブランド志向,シフト制,接客・マーケティング,実力主義,,,,,,,,,,,
タマホーム,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.tamahome.jp/,住宅,大規模,成果主義,フレックス制,営業・建築知識,成果主義,,,,,,,,,,,
タリーズコーヒージャパン,ESFP,"ENTP, ENFP, ESFJ",https://www.tullys.co.jp/,飲食,中規模,ホスピタリティ重視,シフト制,接客・運営,年功序列,,,,,,,,,,,
ちばぎん,ISTJ,"ESTJ, ENTJ, ISTP",https://www.chibabank.co.jp/,金融,大規模,安定志向,固定勤務,金融知識・営業,年功序列,,,,,,,,,,,
ツムラ,ISFJ,"ESFJ, ISTJ, ESTJ",https://www.tsumura.co.jp/,製薬,大規模,研究開発重視,フレックス制,薬学知識・研究,年功序列,,,,,,,,,,,
